GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WSO2 Balana Core,org.wso2.balana.attr.proxy.xacml3,XPathAttributeProxy,0,18,1,1,0,6,1,3,0,3
WSO2 Balana Core,org.wso2.balana.cond.xacml3,XACML3HigherOrderFunction,85,551,14,64,23,118,19,37,6,10
WSO2 Balana Core,org.wso2.balana.cond.xacml3,StringComparingFunction,73,94,11,17,14,26,7,12,1,4
WSO2 Balana Core,org.wso2.balana.cond.xacml3,StringConversionFunction,40,144,1,1,9,30,1,5,0,5
WSO2 Balana Core,org.wso2.balana.cond.xacml3,StringCreationFunction,25,90,2,0,5,19,2,4,1,4
WSO2 Balana Core,org.wso2.balana.cond.xacml3,XPathFunction,190,65,19,9,44,20,12,9,2,5
WSO2 Balana Core,org.wso2.balana.cond.xacml3,SubStringFunction,50,46,3,5,8,13,3,6,1,4
WSO2 Balana Core,org.wso2.balana.attr.xacml3,AttributeSelector,97,129,6,6,23,38,7,7,3,5
WSO2 Balana Core,org.wso2.balana.attr.xacml3,XPathAttribute,102,55,14,4,24,19,13,6,4,6
WSO2 Balana Core,org.wso2.balana.attr.xacml3,AttributeDesignator,140,193,8,10,33,50,14,9,8,6
WSO2 Balana Core,org.wso2.balana.attr,DNSNameAttribute,187,0,16,0,46,0,21,0,13,0
WSO2 Balana Core,org.wso2.balana.attr,AttributeFactory.new AttributeFactoryProxy() {...},2,3,0,0,1,1,1,1,1,1
WSO2 Balana Core,org.wso2.balana.attr,Base64,209,180,28,21,44,45,21,11,2,3
WSO2 Balana Core,org.wso2.balana.attr,IPv4AddressAttribute,114,38,9,1,20,11,9,2,4,2
WSO2 Balana Core,org.wso2.balana.attr,AbstractDesignator,0,3,0,0,0,1,0,1,0,1
WSO2 Balana Core,org.wso2.balana.attr,DateTimeAttribute,476,325,41,17,91,78,30,19,4,16
